ISBN,TITLE,,AUTHOR,AUTHORID,PUBLISHER,PUBLICATION DATE,PAGES,GENRE,LISTPRICE,SALEPRICE,WHOLESALEPRICE,IMAGENAME,IMAGE,FORMAT,DESCRIPTION
978-1449474256,Milk and Honey,,Rupi Kaur ,1,Andrews McMeel Publishing,10/6/2015,208,Poetry,14.99,8.99,7.19,Milk and Hon,"https://images-na.ssl-images-amazon.com/images/I/31I4V%2BLaeJL._SX321_BO1,204,203,200_.jpg",.png,"The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look."
978-0375869020,Wonder,,R. J. Palacio ,2,Knopf Books for Young Readers,2/14/2012,320,Children,16.99,10.69,8.55,Wonder,"https://images-na.ssl-images-amazon.com/images/I/51nQKQZWR-L._SX337_BO1,204,203,200_.jpg",.png,"August Pullman was born with a facial difference that, up until now, has prevented him from going to a mainstream school. Starting 5th grade at Beecher Prep, he wants nothing more than to be treated as an ordinary kid—but his new classmates can’t get past Auggie’s extraordinary face. WONDER, now a #1 New York Times bestseller and included on the Texas Bluebonnet Award master list, begins from Auggie’s point of view, but soon switches to include his classmates, his sister, her boyfriend, and others. These perspectives converge in a portrait of one community’s struggle with empathy, compassion, and acceptance."
978-0545392556,Giraffes Can't Dance,,Giles Andreae ,3,Cartwheel Books,3/1/2012,32,Children,6.99,5.06,4.05,Giraffes Can,"https://images-na.ssl-images-amazon.com/images/I/51qvh4MALwL._SX390_BO1,204,203,200_.jpg",.png,"Giraffes Can't Dance is a touching tale of Gerald the giraffe, who wants nothing more than to dance. With crooked knees and thin legs, it's harder for a giraffe than you would think. Gerald is finally able to dance to his own tune when he gets some encouraging words from an unlikely friend."
978-0062457714,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,,Mark Manson ,4,HarperOne,9/13/2016,224,Self-Help,24.99,14.99,11.99,The Subtle A,"https://images-na.ssl-images-amazon.com/images/I/51VNlzbfpXL._SX331_BO1,204,203,200_.jpg",.png,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be ""positive"" all the time so that we can truly become better, happier people."
978-1419725456,The Getaway,,Jeff Kinney,5,Harry N. Abrams,11/7/2017,224,Children,19.95,9.59,7.67,The Getaway,"https://images-na.ssl-images-amazon.com/images/I/515bCkpiEsL._SX345_BO1,204,203,200_.jpg",.png,"With light-footed rhymes and high-stepping illustrations, this tale is gentle inspiration for every child with dreams of greatness."
978-1623156121,Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,,Laurel Randolph,6,Rockridge Press,4/6/2016,176,Cookbook,14.99,7.04,5.63,Electric Pre,"https://images-na.ssl-images-amazon.com/images/I/51JVp8YV3ZL._SX404_BO1,204,203,200_.jpg",.png,"There’s nothing the Instant Pot can’t do―and with the right cookbook in hand, there’s nothing you can’t cook. The Instant Pot® Electric Pressure Cooker Cookbook will teach you to create a variety of healthy, easy-to-make recipes with confidence. From savory breakfasts and hearty stews to decadent desserts and more, this Instant Pot® cookbook is sure to satisfy everyone at the table."
978-0062300546,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,,J. D. Vance,7,Harper,6/28/2016,272,Politics,27.99,15.1,12.08,Hillbilly El,"https://images-na.ssl-images-amazon.com/images/I/51gufUMfXZL._SX328_BO1,204,203,200_.jpg",.png,"Hillbilly Elegy is a passionate and personal analysis of a culture in crisis—that of white working-class Americans. The decline of this group, a demographic of our country that has been slowly disintegrating over forty years, has been reported on with growing frequency and alarm, but has never before been written about as searingly from the inside. J. D. Vance tells the true story of what a social, regional, and class decline feels like when you were born with it hung around your neck."
978-0393609394,Astrophysics for People in a Hurry,,Neil deGrasse Tyson,8,W. W. Norton & Company,5/2/2017,224,Science,18.95,11.37,9.1,Astrophysics,"https://images-na.ssl-images-amazon.com/images/I/51kyOGIHeIL._SX306_BO1,204,203,200_.jpg",.png,What is the nature of space and time? How do we fit within the universe? How does the universe fit within us? There’s no better guide through these mind-expanding questions than acclaimed astrophysicist and best-selling author Neil deGrasse Tyson.
978-0312510787,First 100 Words,,Roger Priddy,9,Priddy Books,5/10/2011,26,Children,5.99,4.34,3.47,First 100 Wo,"https://images-na.ssl-images-amazon.com/images/I/51AvKQWCl%2BL._SX405_BO1,204,203,200_.jpg",.png,"Your little one will soon learn some essential first words and pictures with this bright board book. There are 100 color photographs to look at and talk about, and 100 simple first words to read and learn, too. The pages are made from tough board for hours of fun reading, and the cover is softly padded for little hands to hold."
978-0544609716,The Whole30: The 30-Day Guide to Total Health and Food Freedom,,Melissa Hartwig,10,Houghton Mifflin Harcourt,4/21/2015,432,Health & Fitness,30,21.49,17.19,The Whole30:,"https://images-na.ssl-images-amazon.com/images/I/61WFjEDBktL._SX437_BO1,204,203,200_.jpg",.png,"Millions of people visit Whole30.com every month and share their stories of weight loss and lifestyle makeovers. Hundreds of thousands of them have read It Starts With Food, which explains the science behind the program. At last, The Whole30 provides the step-by-step, recipe-by-recipe guidebook that will allow millions of people to experience the transformation of their entire life in just one month."
978-0385490818,The Handmaid's Tale,,Margaret Atwood,11,Anchor,3/16/1998,311,Fiction,15.95,9.57,7.66,The Handmaid,"https://images-na.ssl-images-amazon.com/images/I/51mI9Ml1%2ByL._SX322_BO1,204,203,200_.jpg",.png,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable."
978-0802412706,The 5 Love Languages: The Secret to Love that Lasts,,Gary Chapman,12,Northfield Publishing,1/1/2015,208,Self-Help,15.99,9.59,7.67,The 5 Love L,"https://images-na.ssl-images-amazon.com/images/I/51rV-3xwEJL._SX321_BO1,204,203,200_.jpg",.png,"Falling in love is easy. Staying in love—that’s the challenge. How can you keep your relationship fresh and growing amid the demands, conflicts, and just plain boredom of everyday life?"
978-0762447695,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,,Jen Sincero,13,Running Press Adult,4/23/2013,256,Self-Help,16,9.59,7.67,You Are a Ba,"https://images-na.ssl-images-amazon.com/images/I/51ypp1C%2B97L._SX315_BO1,204,203,200_.jpg",.png,"In this refreshingly entertaining how-to guide, bestselling author and world-traveling success coach, Jen Sincero, serves up 27 bitesized chapters full of hilariously inspiring stories, sage advice, easy exercises, and the occasional swear word, helping you to: Identify and change the self-sabotaging beliefs and behaviors that stop you from getting what you want, Create a life you totally love. And create it NOW, Make some damn money already. The kind you've never made before."
978-1501175565,What Happened,,Hilary Clinton,14,Simon & Schuster,9/12/2017,512,Politics,30,17.33,13.86,What Happene,"https://images-na.ssl-images-amazon.com/images/I/51iTTXhMcBL._SX329_BO1,204,203,200_.jpg",.png,"For the first time, Hillary Rodham Clinton reveals what she was thinking and feeling during one of the most controversial and unpredictable presidential elections in history. Now free from the constraints of running, Hillary takes you inside the intense personal experience of becoming the first woman nominated for president by a major party in an election marked by rage, sexism, exhilarating highs and infuriating lows, stranger-than-fiction twists, Russian interference, and an opponent who broke all the rules. This is her most personal memoir yet."
978-0679805274,"Oh, the Places You'll Go!",,Dr. Seuss,15,Random House,1/22/1990,56,Children,18.99,15.42,12.34,"Oh, the Plac","https://images-na.ssl-images-amazon.com/images/I/518eq5NjZkL._SX359_BO1,204,203,200_.jpg",.png,"From soaring to high heights and seeing great sights to being left in a Lurch on a prickle-ly perch, Dr. Seuss addresses life’s ups and downs with his trademark humorous verse and illustrations, while encouraging readers to find the success that lies within. In a starred review, Booklist notes, “Seuss’s message is simple but never sappy: life may be a ‘Great Balancing Act,’ but through it all ‘There’s fun to be done.’” A perennial favorite and a perfect gift for anyone starting a new phase in their life!"
978-1455570249,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,,William H. McRaven,16,Grand Central Publishing,4/4/2017,144,Self Help,18,10.4,8.32,Make Your Be,"https://images-na.ssl-images-amazon.com/images/I/41nYEMfvoEL._SX352_BO1,204,203,200_.jpg",.png,"On May 17, 2014, Admiral William H. McRaven addressed the graduating class of the University of Texas at Austin on their Commencement day. Taking inspiration from the university's slogan, ""What starts here changes the world,"" he shared the ten principles he learned during Navy Seal training that helped him overcome challenges not only in his training and long Naval career, but also throughout his life; and he explained how anyone can use these basic lessons to change themselves-and the world-for the better."
978-0451524935,1984 (Signet Classics),,George Orwell,17,Signet Classic,1/1/1961,328,Fiction,9.99,6.18,4.94,1984 (Signet,"https://images-na.ssl-images-amazon.com/images/I/31l24hBKHaL._SX280_BO1,204,203,200_.jpg",.png,"Winston Smith toes the Party line, rewriting history to satisfy the demands of the Ministry of Truth. With each lie he writes, Winston grows to hate the Party that seeks power for its own sake and persecutes those who dare to commit thoughtcrimes. But as he starts to think for himself, Winston can’t escape the fact that Big Brother is always watching..."
978-0671027032,How to Win Friends & Influence People,,Dale Carnegie,18,Pocket Books,10/1/1998,288,Self-Help,16,9.6,7.68,How to Win F,"https://images-na.ssl-images-amazon.com/images/I/51X7dEUFgoL._SX320_BO1,204,203,200_.jpg",.png,"Dale Carnegie’s rock-solid, time-tested advice has carried countless people up the ladder of success in their business and personal lives. One of the most groundbreaking and timeless bestsellers of all time, How to Win Friends & Influence People will teach you:"
978-0385514231,Origin: A Novel,,Dan Brown,19,Doubleday,10/3/2017,480,Fiction,29.95,17.77,14.22,Origin: A No,"https://images-na.ssl-images-amazon.com/images/I/51OOD3HzgzL._SX328_BO1,204,203,200_.jpg",.png,"Robert Langdon, Harvard professor of symbology and religious iconology, arrives at the ultramodern Guggenheim Museum Bilbao to attend a major announcement—the unveiling of a discovery that “will change the face of science forever.” The evening’s host is Edmond Kirsch, a forty-year-old billionaire and futurist whose dazzling high-tech inventions and audacious predictions have made him a renowned global figure. Kirsch, who was one of Langdon’s first students at Harvard two decades earlier, is about to reveal an astonishing breakthrough . . . one that will answer two of the fundamental questions of human existence."
